FID,COUNTRY,ISO_CODE,ISO_CC,ISO_SUB,NUTS_ID,CNTR_CODE,EFAS_name,ID
1403, , , , ,ES111,ES,A Coruna,1410
1363, , , , ,CH033,CH,Aargau,1364
132,Georgia,GEAB,GE,AB, , ,Abkhazia,132
133,Italy,IT65,IT,65, , ,Abruzzo,133
913, , , , ,ITF1,IT,Abruzzo,1218
134,Egypt,EGDK,EG,DK, , ,Ad Daqahliyah,134
135,Turkey,TR01,TR,1, , ,Adana,135
136,Turkey,TR01,TR,1, , ,Adana,136
1289, , , , ,TR62,TR,Adana,1274
137,Turkey,TR02,TR,2, , ,Adiyaman,137
1263,Algeria,DZ01,DZ,1, , ,Adrar,1118
138,Greece,GR69,GR,69, , ,Agio Oros,138
139,Greece,GR69,GR,69, , ,Agio Oros,139
140,Turkey,TR04,TR,4, , ,Agri,140
1298, , , , ,TRA2,TR,Agri,1283
1543, , , , ,FR711,FR,Ain,1552
141,Algeria,DZ44,DZ,44, , ,Ain Defla,141
6,Algeria,DZ46,DZ,46, , ,Ain Temouchent,0
7,Algeria,DZ46,DZ,46, , ,Ain Temouchent,1
8,Algeria,DZ46,DZ,46, , ,Ain Temouchent,2
1484, , , , ,FR221,FR,Aisne,1493
142,Georgia,GEAJ,GE,AJ, , ,Ajaria,142
143,Libya,LYAJ,LY,AJ, , ,Ajdabiya,143
144,Libya,LYAJ,LY,AJ, , ,Ajdabiya,144
145,Jordan,JOAJ,JO,AJ, , ,Ajlun,145
146,Norway,NO02,NO,2, , ,Akershus,146
147,Norway,NO02,NO,2, , ,Akershus,147
148,Norway,NO02,NO,2, , ,Akershus,148
1728, , , , ,NO012,NO,Akershus,1610
149,Turkey,TR68,TR,68, , ,Aksaray,149
160,Iraq,IQAN,IQ,AN, , ,Al Anbar,151
150,Jordan,JOAQ,JO,AQ, , ,Al Aqaba,150
161,Egypt,EGBA,EG,BA, , ,Al Bahr al Ahmar,152
162,Egypt,EGBA,EG,BA, , ,Al Bahr al Ahmar,153
163,Egypt,EGBA,EG,BA, , ,Al Bahr al Ahmar,154
164,Jordan,JOBA,JO,BA, , ,Al Balqa,155
165,Egypt,EGBH,EG,BH, , ,Al Buhayrah,156
166,Egypt,EGBH,EG,BH, , ,Al Buhayrah,157
167,Libya,LYBU,LY,BU, , ,Al Butnan,158
168,Libya,LYBU,LY,BU, , ,Al Butnan,159
169,Egypt,EGFYM,EG,FYM, , ,Al Fayyum,160
170,Egypt,EGGH,EG,GH, , ,Al Gharbiyah,161
171,Syria,SYHA,SY,HA, , ,Al Hasakah,162
172,Libya,LYHZ,LY,HZ, , ,Al Hizam al Akdar,163
173,Saudi Arabia,SA08,SA,8, , ,Al Hudud ash Shamaliyah,164
174,Egypt,EGALX,EG,ALX, , ,Al Iskandariyah,165
175,Egypt,EGALX,EG,ALX, , ,Al Iskandariyah,166
176,Egypt,EGIS,EG,IS, , ,Al Ismailiyah,167
177,Egypt,EGIS,EG,IS, , ,Al Ismailiyah,168
178,Egypt,EGIS,EG,IS, , ,Al Ismailiyah,169
179,Egypt,EGIS,EG,IS, , ,Al Ismailiyah,170
180,Egypt,EGIS,EG,IS, , ,Al Ismailiyah,171
181,Libya,LYJA,LY,JA, , ,Al Jabal al Akhdar,172
182,Saudi Arabia,SA12,SA,12, , ,Al Jawf,173
183,Saudi Arabia,SA12,SA,12, , ,Al Jawf,174
184,Libya,LYJI,LY,JI, , ,Al Jifarah,175
185,Egypt,EGGZ,EG,GZ, , ,Al Jizah,176
186,Libya,LYJU,LY,JU, , ,Al Jufrah,177
187,Jordan,JOKA,JO,KA, , ,Al Karak,178
188,Syria,SYLA,SY,LA, , ,Al Ladhiqiyah,179
189,Syria,SYLA,SY,LA, , ,Al Ladhiqiyah,180
190,Saudi Arabia,SA03,SA,3, , ,Al Madinah,181
191,Jordan,JOMA,JO,MA, , ,Al Mafraq,182
192,Libya,LYMJ,LY,MJ, , ,Al Marj,183
193,Libya,LYMB,LY,MB, , ,Al Marqab,184
194,Libya,LYMB,LY,MB, , ,Al Marqab,185
195,Egypt,EGMNF,EG,MNF, , ,Al Minufiyah,186
196,Egypt,EGMN,EG,MN, , ,Al Minya,187
197,Egypt,EGC,EG,C, , ,Al Qahirah,188
198,Egypt,EGKB,EG,KB, , ,Al Qalyubiyah,189
199,Saudi Arabia,SA05,SA,5, , ,Al Qasim,190
200,Libya,LYQB,LY,QB, , ,Al Qubbah,191
201,Syria,SYQU,SY,QU, , ,Al Qunaytirah,192
202,Egypt,EGWAD,EG,WAD, , ,Al Wadi al Jadid,193
203,Libya,LYWA,LY,WA, , ,Al Wahah,194
1471, , , , ,FI200,FI,Aland,1480
204,Finland,FIAL,FI,AL, , ,Aland Islands,195
205,Finland,FIAL,FI,AL, , ,Aland Islands,196
206,Finland,FIAL,FI,AL, , ,Aland Islands,197
1409, , , , ,ES211,ES,Alava,1416
1639, , , , ,RO121,RO,Alba,1662
1427, , , , ,ES421,ES,Albacete,1434
1630, , , , ,PT183,PT,Alentejo Central,1653
1628, , , , ,PT181,PT,Alentejo Litoral,1651
1613, , , , ,PT150,PT,Algarve,1636
207,Algeria,DZ16,DZ,16, , ,Alger,198
208,Algeria,DZ16,DZ,16, , ,Alger,199
1438, , , , ,ES521,ES,Alicante / Alacant,1445
1551, , , , ,FR721,FR,Allier,1560
1444, , , , ,ES611,ES,Almeria,1451
1560, , , , ,FR821,FR,Alpes-de-Haute-Provence,1569
1562, , , , ,FR823,FR,Alpes-Maritimes,1571
1629, , , , ,PT182,PT,Alto Alentejo,1652
1612, , , , ,PT118,PT,Alto Tras-os-Montes,1635
209,Latvia,LVAL,LV,AL, , ,Aluksnes Aprinkis,200
210,Lithuania,LTAL,LT,AL, , ,Alytaus Apskritis,201
1576, , , , ,LT001,LT,Alytaus apskritis,1585
211,Jordan,JOAM,JO,AM, , ,Amman,202
212,Iraq,IQNA,IQ,NA, , ,An Najaf,203
213,Libya,LYNQ,LY,NQ, , ,An Nuqat al Khams,204
214,Greece,GRI,GR,I, , ,Anatoliki Makedonia Kai Thraki,205
215,Greece,GRI,GR,I, , ,Anatoliki Makedonia Kai Thraki,206
216,Greece,GRI,GR,I, , ,Anatoliki Makedonia Kai Thraki,207
889, , , , ,EL11,EL,"Anatoliki Makedonia, THraki",1194
9,Spain,ESAN,ES,AN, , ,Andalucia,3
10,Spain,ESAN,ES,AN, , ,Andalucia,4
11,Spain,ESAN,ES,AN, , ,Andalucia,5
151,Andorra,AD,AD, , , ,Andorra,208
217,Turkey,TR06,TR,6, , ,Ankara,209
1286, , , , ,TR51,TR,Ankara,1271
218,Algeria,DZ23,DZ,23, , ,Annaba,210
219,Turkey,TR07,TR,7, , ,Antalya,211
220,Turkey,TR07,TR,7, , ,Antalya,212
221,Turkey,TR07,TR,7, , ,Antalya,213
1288, , , , ,TR61,TR,Antalya,1273
1367, , , , ,CH053,CH,Appenzell Ausserrhoden,1368
1368, , , , ,CH054,CH,Appenzell Innerrhoden,1369
222,Kazakhstan,KZAKT,KZ,AKT, , ,Aqtobe oblysy,214
12,France,FRB,FR,B, , ,Aquitaine,6
1264,France,FRB,FR,B, , ,Aquitaine,1119
223,Syria,SYRA,SY,RA, , ,Ar Raqqah,215
1671, , , , ,RO421,RO,Arad,1694
224,Armenia,AMAG,AM,AG, , ,Aragacotn,216
225,Armenia,AMAR,AM,AR, , ,Ararat,217
226,Iraq,IQAR,IQ,AR, , ,Arbil,218
227,Iran,IR03,IR,3, , ,Ardabil,219
228,Turkey,TR75,TR,75, , ,Ardahan,220
1544, , , , ,FR712,FR,Ardeche,1553
1480, , , , ,FR211,FR,Ardennes,1489
1657, , , , ,RO311,RO,Arges,1680
1532, , , , ,FR621,FR,Ariege,1541
229,Russian Federation,RUARK,RU,ARK, , ,Arkhangelskaya oblast,221
230,Russian Federation,RUARK,RU,ARK, , ,Arkhangelskaya oblast,222
231,Russian Federation,RUARK,RU,ARK, , ,Arkhangelskaya oblast,223
232,Armenia,AMAV,AM,AV, , ,Armavir,224
878, , , , ,DEA5,DE,Arnsberg,1183
233,Turkey,TR08,TR,8, , ,Artvin,225
234,Iraq,IQSU,IQ,SU, , ,As Sulaymaniyah,226
235,Syria,SYSU,SY,SU, , ,As Suwayda,227
236,Egypt,EGSUZ,EG,SUZ, , ,As Suways,228
237,Egypt,EGSUZ,EG,SUZ, , ,As Suways,229
238,Egypt,EGSUZ,EG,SUZ, , ,As Suways,230
239,Egypt,EGSHR,EG,SHR, , ,Ash Sharqiyah,231
240,Russian Federation,RUAST,RU,AST, , ,Astrakhanskaya oblast,232
241,Russian Federation,RUAST,RU,AST, , ,Astrakhanskaya oblast,233
242,Russian Federation,RUAST,RU,AST, , ,Astrakhanskaya oblast,234
13,Spain,ESO,ES,O, , ,Asturias,7
14,Spain,ESO,ES,O, , ,Asturias,8
1407, , , , ,ES120,ES,Asturias,1414
243,Egypt,EGAST,EG,AST, , ,Asyut,235
245,Jordan,JOAT,JO,AT, , ,At Tafilah,237
244,Iraq,IQTS,IQ,TS, , ,At Tamim,236
246,Greece,GRIX,GR,IX, , ,Attiki,238
247,Greece,GRIX,GR,IX, , ,Attiki,239
248,Greece,GRIX,GR,IX, , ,Attiki,240
898, , , , ,EL30,EL,Attiki,1203
249,Kazakhstan,KZATY,KZ,ATY, , ,Atyrau oblysy,241
250,Kazakhstan,KZATY,KZ,ATY, , ,Atyrau oblysy,242
251,Kazakhstan,KZATY,KZ,ATY, , ,Atyrau oblysy,243
1481, , , , ,FR212,FR,Aube,1490
1555, , , , ,FR811,FR,Aude,1564
252,Norway,NO09,NO,9, , ,Aust-Agder,244
253,Norway,NO09,NO,9, , ,Aust-Agder,245
254,Norway,NO09,NO,9, , ,Aust-Agder,246
1733, , , , ,NO041,NO,Aust-Agder,1617
15,Iceland,IS7,IS,7, , ,Austurland,9
16,Iceland,IS7,IS,7, , ,Austurland,10
17,Iceland,IS7,IS,7, , ,Austurland,11
1607, , , , ,PT113,PT,Ave,1630
18,Portugal,PT01,PT,1, , ,Aveiro,12
1533, , , , ,FR622,FR,Aveyron,1542
1418, , , , ,ES411,ES,Avila,1425
255,Turkey,TR09,TR,9, , ,Aydin,247
256,Turkey,TR09,TR,9, , ,Aydin,248
257,Turkey,TR09,TR,9, , ,Aydin,249
1282, , , , ,TR32,TR,Aydin,1267
258,Jordan,JOAZ,JO,AZ, , ,Az Zarqa,250
259,Libya,LYZA,LY,ZA, , ,Az Zawiyah,251
260,Iran,IR02,IR,2, , ,Azarbayjan-e-Gharbi,252
261,Iran,IR01,IR,1, , ,Azarbayjan-e-Sharqi,253
262,Azerbaijan,AZ,AZ, , , ,Azerbaijan,254
263,Iraq,IQBB,IQ,BB, , ,Babil,255
1645, , , , ,RO211,RO,Bacau,1668
152,Hungary,HUBK,HU,BK, , ,Bacs-Kiskun,256
1432, , , , ,ES431,ES,Badajoz,1439
264,Iraq,IQBG,IQ,BG, , ,Baghdad,257
1631, , , , ,PT184,PT,Baixo Alentejo,1654
1615, , , , ,PT162,PT,Baixo Mondego,1638
1614, , , , ,PT161,PT,Baixo Vouga,1637
265,Azerbaijan,AZBAL,AZ,BAL, , ,Balakan,258
266,Turkey,TR10,TR,10, , ,Balikesir,259
267,Turkey,TR10,TR,10, , ,Balikesir,260
268,Turkey,TR10,TR,10, , ,Balikesir,261
960, , , , ,TR22,TR,Balikesir,1265
153,Moldova,MDBA,MD,BA, , ,Balti,262
154,Latvia,LVBL,LV,BL, , ,Balvu Aprinkis,263
269,Libya,LYBA,LY,BA, , ,Banghazi,264
270,Egypt,EGBNS,EG,BNS, , ,Bani Suwayf,265
271,Libya,LYBW,LY,BW, , ,Bani Walid,266
1713, , , , ,SK032,SK,Banskobystricky kraj,1736
155,Hungary,HUBA,HU,BA, , ,Baranya,267
1434, , , , ,ES511,ES,Barcelona,1441
272,Turkey,TR74,TR,74, , ,Bartin,268
273,Turkey,TR74,TR,74, , ,Bartin,269
1362, , , , ,CH032,CH,Basel-Landschaft,1363
1361, , , , ,CH031,CH,Basel-Stadt,1362
274,Italy,IT77,IT,77, , ,Basilicata,270
275,Italy,IT77,IT,77, , ,Basilicata,271
917, , , , ,ITF5,IT,Basilicata,1222
1508, , , , ,FR421,FR,Bas-Rhin,1517
19,France,FRP,FR,P, , ,Basse-Normandie,13
20,France,FRP,FR,P, , ,Basse-Normandie,14
1265,France,FRP,FR,P, , ,Basse-Normandie,1120
276,Algeria,DZ05,DZ,5, , ,Batna,272
277,Kazakhstan,KZZAP,KZ,ZAP, , ,Batys Qazaqstan oblysy,273
1266,Algeria,DZ08,DZ,8, , ,Bechar,1121
1307, , , , ,UKH2,UK,Bedfordshire and Hertfordshire,1307
1621, , , , ,PT168,PT,Beira Interior Norte,1644
1622, , , , ,PT169,PT,Beira Interior Sul,1645
21,Portugal,PT02,PT,2, , ,Beja,15
278,Tunisia,TN31,TN,31, , ,Beja,274
279,Algeria,DZ06,DZ,6, , ,Bejaia,275
280,Algeria,DZ06,DZ,6, , ,Bejaia,276
281,Russian Federation,RUBEK,RU,BEK, , ,Belgorodskaya oblast,277
282,Tunisia,TN13,TN,13, , ,Ben Arous,278
283,Serbia,RS00,RS,0, , ,Beograd,279
284,Albania,AL1,AL,1, , ,Berat,280
1311, , , , ,UKJ1,UK,"Berkshire, Buckinghamshire and Oxfordshire",1311
862, , , , ,DE30,DE,Berlin,1167
1357, , , , ,CH021,CH,Bern,1357
285,Lebanon,LBBA,LB,BA, , ,Beyrouth,281
1633, , , , ,RO111,RO,Bihor,1656
286,Algeria,DZ07,DZ,7, , ,Biskra,282
287,Slovenia,SI149,SI,149, , ,Bistrica ob Sotli,283
1634, , , , ,RO112,RO,Bistrita-Nasaud,1657
288,Turkey,TR13,TR,13, , ,Bitlis,284
289,Tunisia,TN23,TN,23, , ,Bizerte,285
290,Tunisia,TN23,TN,23, , ,Bizerte,286
291,Tunisia,TN23,TN,23, , ,Bizerte,287
156,Croatia,HR07,HR,7, , ,Bjelovarsko-bilogorska zupanija,288
1346, , , , ,BG413,BG,Blagoevgrad,1346
292,Sweden,SEK,SE,K, , ,Blekinge lan,289
293,Sweden,SEK,SE,K, , ,Blekinge lan,290
294,Sweden,SEK,SE,K, , ,Blekinge lan,291
1685, , , , ,SE221,SE,Blekinge lan,1708
295,Algeria,DZ09,DZ,9, , ,Blida,292
296,The Former Yugoslav Republic of Macedonia,MK06,MK,6, , ,Bogovinje,293
157,Serbia,RS14,RS,14, , ,Bor,294
1568, , , , ,IE011,IE,Border,1577
297,Algeria,DZ34,DZ,34, , ,Bordj Bou Arreridj,295
899, , , , ,EL41,EL,Boreio Aigaio,1204
1390, , , , ,DK014,DK,Bornholm,1397
158,Romania,ROBT,RO,BT, , ,Botosani,296
1646, , , , ,RO212,RO,Botosani,1669
1563, , , , ,FR824,FR,Bouches-du-Rhone,1572
298,Algeria,DZ10,DZ,10, , ,Bouira,297
299,Algeria,DZ35,DZ,35, , ,Boumerdes,298
